video_id,url,title,channel,upload_date,duration_s,view_count,search_query,reason_kept
wi8aMULUgVg,https://www.youtube.com/watch?v=wi8aMULUgVg,Ensemble Rehearsals on Zoom,CrosbyBRM,,888.0,93249,zoom choir rehearsal live,"title mentions zoom + choir, 888.0s duration"
VsnvueTan4I,https://www.youtube.com/watch?v=VsnvueTan4I,Our First Virtual Choir Rehearsal using live video chat on ZOOM!,Roanoke Valley Children's Choir,,255.0,20950,zoom choir rehearsal live,"title mentions zoom + choir, 255.0s duration"
4zVezleGQqc,https://www.youtube.com/watch?v=4zVezleGQqc,Zoom Choir Rehearsal Tips,The Resourceful Church Musician,,485.0,3516,zoom choir rehearsal live,"title mentions zoom + choir, 485.0s duration"
5iK1ile-jR8,https://www.youtube.com/watch?v=5iK1ile-jR8,How To Improve Your Zoom Choir Rehearsals,Stewart Wallace,,402.0,440,zoom choir rehearsal live,"title mentions zoom + choir, 402.0s duration"
CQdg5_u3O4w,https://www.youtube.com/watch?v=CQdg5_u3O4w,Setting up zoom for a choir practice.,Mr B's Music Room,,674.0,169,zoom choir rehearsal live,"title mentions zoom + choir, 674.0s duration"
79uog1HZQLg,https://www.youtube.com/watch?v=79uog1HZQLg,ZOOM REHEARSAL #2: Playing Live With Metronome,David Mersiovsky,,167.0,12842,zoom choir rehearsal live,"title mentions zoom + choir, 167.0s duration"
hzB5bp3hvTw,https://www.youtube.com/watch?v=hzB5bp3hvTw,C Choir S2 ZOOM Sectional Rehearsal | RVCC Virtual Concert Preparations,Roanoke Valley Children's Choir,,1596.0,711,zoom choir rehearsal live,"title mentions zoom + choir, 1596.0s duration"
QNjirEbCbfg,https://www.youtube.com/watch?v=QNjirEbCbfg,Choral Artisans Moving to Zoom Rehearsals,The Resonance Initiative,,1126.0,92,zoom choir rehearsal live,"title mentions zoom + choir, 1126.0s duration"
DXbEHFp2998,https://www.youtube.com/watch?v=DXbEHFp2998,Example Zoom Worship Rehearsal,ACDA Western Region,,1060.0,160,zoom choir rehearsal live,"title mentions zoom + choir, 1060.0s duration"
e8QRSfLW-fM,https://www.youtube.com/watch?v=e8QRSfLW-fM,Choir Rehearsal on Zoom | Fail,Nicó Da'Centric ,,141.0,232,zoom choir rehearsal live,"title mentions zoom + choir, 141.0s duration"
jEHZ2IeJBWM,https://www.youtube.com/watch?v=jEHZ2IeJBWM,"Choirplayer, Zoom and the Limitations of Online Rehearsals",ChoirPlayer,,203.0,2625,zoom choir rehearsal live,"title mentions zoom + choir, 203.0s duration"
vJ-RQhWa8YU,https://www.youtube.com/watch?v=vJ-RQhWa8YU,"The Little Things - A 'Virtual Choir' Lockdown Song - Chris Lawry, Angela Cope & Amber Valley Voices",Moonhouse Music,,233.0,2353,zoom choir covid lockdown,"title mentions zoom + choir, 233.0s duration"
u014PX80B4o,https://www.youtube.com/watch?v=u014PX80B4o,Getting through COVID 19 1 song at a time Sing in the City Zoom chat with Brown Eyed Girl,Sing in the City Choir & Hanley and the Baird,,240.0,166,zoom choir covid lockdown,"title mentions zoom + choir, 240.0s duration"
UmBHBUFU3ZA,https://www.youtube.com/watch?v=UmBHBUFU3ZA,Down in the River to Pray | COVID-19 Virtual Choir Schola Diffusa,Damien Riehl,,210.0,352711,zoom choir covid lockdown,"title mentions zoom + choir, 210.0s duration"
LpAKcQufacc,https://www.youtube.com/watch?v=LpAKcQufacc,Longest Time - Quarantine Edition,Phoenix Chamber Choir,,230.0,3197871,zoom choir covid lockdown,"title mentions zoom + choir, 230.0s duration"
yDLJdUKRoBY,https://www.youtube.com/watch?v=yDLJdUKRoBY,"Choir community navigates lockdown in Cambridge, New Zealand",Mosaic Choir NZ,,378.0,585,zoom choir covid lockdown,"title mentions zoom + choir, 378.0s duration"
fUYZsMvsNHM,https://www.youtube.com/watch?v=fUYZsMvsNHM,Musicians perform a virtual gala in COVID-19  lockdown,Al Jazeera English,,172.0,2889,zoom choir covid lockdown,"title mentions zoom + choir, 172.0s duration"
J_h1GGxnknQ,https://www.youtube.com/watch?v=J_h1GGxnknQ,Round Rock High School choir meets virtually during coronavirus outbreak | KVUE,KVUE,,136.0,7798,zoom choir covid lockdown,"title mentions zoom + choir, 136.0s duration"
e_BrIN-JF6E,https://www.youtube.com/watch?v=e_BrIN-JF6E,"The Yeshiva Boys Choir - ""Ess Ponecha"" (Home Edition) A Cappella",EG Productions,,257.0,843510,zoom choir covid lockdown,"title mentions zoom + choir, 257.0s duration"
WFZmT-LRMBM,https://www.youtube.com/watch?v=WFZmT-LRMBM,"""You Will Be Found"" Virtual Choir | DEAR EVAN HANSEN",Dear Evan Hansen,,306.0,1940179,zoom choir covid lockdown,"title mentions zoom + choir, 306.0s duration"
aPevVXpMP7Q,https://www.youtube.com/watch?v=aPevVXpMP7Q,Virtual choir concert a beautiful use of technology during pandemic,WGN News,,161.0,557,zoom choir covid lockdown,"title mentions zoom + choir, 161.0s duration"
ATEp63Uyv5w,https://www.youtube.com/watch?v=ATEp63Uyv5w,"Coronavirus: Dozens get sick, 2 die after choir rehearsal in Mount Vernon",FOX 13 Seattle,,172.0,2234,zoom choir covid lockdown,"title mentions zoom + choir, 172.0s duration"
bfbK9FBJ5BU,https://www.youtube.com/watch?v=bfbK9FBJ5BU,NHS Staff Choir sing 'Lean on Me' by Bill Withers,The Telegraph,,142.0,27370,zoom choir covid lockdown,"title mentions zoom + choir, 142.0s duration"
tgx7ps3SaRQ,https://www.youtube.com/watch?v=tgx7ps3SaRQ,"Choirs re-imagine singing, which proves dangerous during a pandemic",CBC British Columbia,,180.0,1870,zoom choir covid lockdown,"title mentions zoom + choir, 180.0s duration"
ZSPG186HvMg,https://www.youtube.com/watch?v=ZSPG186HvMg,Students sing together from home after coronavirus cancels concert,CBS News,,199.0,233117,zoom choir covid lockdown,"title mentions zoom + choir, 199.0s duration"
fs7Kah6wnY8,https://www.youtube.com/watch?v=fs7Kah6wnY8,IS HE WORTHY?,Fellowship Worship,,294.0,1574834,zoom choir covid lockdown,"title mentions zoom + choir, 294.0s duration"
kMHRwDIRXmk,https://www.youtube.com/watch?v=kMHRwDIRXmk,Musical zoom room connects people during COVID-19,660 NEWS,,170.0,46,zoom choir covid lockdown,"title mentions zoom + choir, 170.0s duration"
IiTuf5UKsqg,https://www.youtube.com/watch?v=IiTuf5UKsqg,Houston show choir's message of togetherness during coronavirus pandemic,KHOU 11,,171.0,767,zoom choir covid lockdown,"title mentions zoom + choir, 171.0s duration"
-hs-BHowCbY,https://www.youtube.com/watch?v=-hs-BHowCbY,Aurora Virtual Choir Still Singing in Lockdown,Woodborough Video,,212.0,1183,zoom choir covid lockdown,"title mentions zoom + choir, 212.0s duration"
IXpsQDwzS0U,https://www.youtube.com/watch?v=IXpsQDwzS0U,One world together singers fight COVID-19 pandemic,Out of the Blue Productions,,308.0,10924,zoom choir covid lockdown,"title mentions zoom + choir, 308.0s duration"
fGmiPmmGuLA,https://www.youtube.com/watch?v=fGmiPmmGuLA,Local choir wows in Zoom concert,WKRG,,193.0,625,zoom choir covid lockdown,"title mentions zoom + choir, 193.0s duration"
hrXzMe3XFSo,https://www.youtube.com/watch?v=hrXzMe3XFSo,DSBC Choir COVID special,Dorsett Shoals Baptist Church,,285.0,142,zoom choir covid lockdown,"title mentions zoom + choir, 285.0s duration"
VFpMDrok1s4,https://www.youtube.com/watch?v=VFpMDrok1s4,SMSU Chorale COVID-19 Virtual Choir - Requiem,Southwest Minnesota State University,,285.0,332,zoom choir covid lockdown,"title mentions zoom + choir, 285.0s duration"
w_hPNwaNXeQ,https://www.youtube.com/watch?v=w_hPNwaNXeQ,"Coronavirus, lockdown and Zoom’s billion-dollar boom",The London Standard,,292.0,283,zoom choir covid lockdown,"title mentions zoom + choir, 292.0s duration"
HjIPgW1i_Tw,https://www.youtube.com/watch?v=HjIPgW1i_Tw,Zoom Rehearsal with the Harvard University Choir.,MemChurchHarvard,,121.0,2010,church choir zoom rehearsal,"title mentions zoom + choir, 121.0s duration"
-FLYPvtN2HY,https://www.youtube.com/watch?v=-FLYPvtN2HY,Online Zoom Choirs - Part Two: Limitations & Other Options,Guy Bunce,,884.0,40395,church choir zoom rehearsal,"title mentions zoom + choir, 884.0s duration"
Yvs0Jo5ShDk,https://www.youtube.com/watch?v=Yvs0Jo5ShDk,EFFECTIVE ONLINE CHOIR PRACTICE,The Online ChoirMaster ,,242.0,1571,church choir zoom rehearsal,"title mentions zoom + choir, 242.0s duration"
T6f7-Tdq7NI,https://www.youtube.com/watch?v=T6f7-Tdq7NI,Tips on How to Make Virtual Choir Rehearsal ( Walk Through),Anna Zaidman,,148.0,208,church choir zoom rehearsal,"title mentions zoom + choir, 148.0s duration"
KJruTaWTWlY,https://www.youtube.com/watch?v=KJruTaWTWlY,What is a Virtual Choir Rehearsal like on ZOOM?? | How To Sing Choir Warm-ups Together Online,Roanoke Valley Children's Choir,,513.0,2895,church choir zoom rehearsal,"title mentions zoom + choir, 513.0s duration"
ATJ9ZU-hsEo,https://www.youtube.com/watch?v=ATJ9ZU-hsEo,Choir Practice (Part 1) - Vocals Clean Up!,Moses Joshua,,1156.0,19492,church choir zoom rehearsal,"title mentions zoom + choir, 1156.0s duration"
-sJwv8M20MM,https://www.youtube.com/watch?v=-sJwv8M20MM,Easter 2019 Dress rehearsal: Crown Him with Many Crowns (4K),Panoplyimaging,,582.0,321,church choir zoom rehearsal,"title mentions zoom + choir, 582.0s duration"
D7o7BrlbaDs,https://www.youtube.com/watch?v=D7o7BrlbaDs,Eric Whitacre's Virtual Choir - 'Lux Aurumque',Eric Whitacre's Virtual Choir,,380.0,7048435,virtual choir zoom singing,"title mentions zoom + choir, 380.0s duration"
6gpoJNv5dlQ,https://www.youtube.com/watch?v=6gpoJNv5dlQ,"""You'll Never Walk Alone"" Virtual Choir/Orchestra 15 Countries: 300 People",Harrison Sheckler,,191.0,2044373,virtual choir zoom singing,"title mentions zoom + choir, 191.0s duration"
o8pGp7N9bG8,https://www.youtube.com/watch?v=o8pGp7N9bG8,Lift Ev'ry Voice and Sing - Stanford Talisman Alumni Virtual Choir,Stanford Talisman,,432.0,237619,virtual choir zoom singing,"title mentions zoom + choir, 432.0s duration"
o1trWhBvZTs,https://www.youtube.com/watch?v=o1trWhBvZTs,"Nearer, My God, to Thee - 800 musicians from 55 countries combine to create a stunning virtual video",BYU Vocal Point,,242.0,1553932,virtual choir zoom singing,"title mentions zoom + choir, 242.0s duration"
STXzs5qnPwg,https://www.youtube.com/watch?v=STXzs5qnPwg,Online Zoom Choir - Part One: Setting up a Zoom Virtual Choir (For Choir Members),Guy Bunce,,676.0,168889,virtual choir zoom singing,"title mentions zoom + choir, 676.0s duration"
-Cvv5uDOzvM,https://www.youtube.com/watch?v=-Cvv5uDOzvM,Nothing But The Blood (Virtual Choir #1),David Wesley,,266.0,744369,virtual choir zoom singing,"title mentions zoom + choir, 266.0s duration"
MlwII9fQlwU,https://www.youtube.com/watch?v=MlwII9fQlwU,"""Take Me Out to the Ballgame"" Virtual Choir:Orchestra featuring MLB Guests (200 People)",Harrison Sheckler,,179.0,318748,virtual choir zoom singing,"title mentions zoom + choir, 179.0s duration"
uS0ioMnVdHw,https://www.youtube.com/watch?v=uS0ioMnVdHw,The largest virtual choir ever assembled,CBS Sunday Morning,,440.0,259988,virtual choir zoom singing,"title mentions zoom + choir, 440.0s duration"
3LsJVD_AJq4,https://www.youtube.com/watch?v=3LsJVD_AJq4,FUMC - Easter Sunday 2020 - Virtual Choir (Zoom),First United Methodist Church Port Orange,,223.0,114,virtual choir zoom singing,"title mentions zoom + choir, 223.0s duration"
nDIJz6zzHNU,https://www.youtube.com/watch?v=nDIJz6zzHNU,IT IS WELL WITH MY SOUL (Arr. David Wise) #ItIsWell #StudioSinging #NashvilleStrong,TEN TWO SIX MUSIC GROUP,,298.0,1601965,virtual choir zoom singing,"title mentions zoom + choir, 298.0s duration"
VLPP3XmYxXg,https://www.youtube.com/watch?v=VLPP3XmYxXg,How Can I Keep from Singing - NYC Virtual Choir and Orchestra,Podd Brothers,,352.0,1086068,virtual choir zoom singing,"title mentions zoom + choir, 352.0s duration"
lqWQCWc_zCc,https://www.youtube.com/watch?v=lqWQCWc_zCc,True Colors - Camden Voices (self-isolation/virtual choir cover),Camden Voices,,212.0,2321093,virtual choir zoom singing,"title mentions zoom + choir, 212.0s duration"
p1vl50IwGOw,https://www.youtube.com/watch?v=p1vl50IwGOw,Virtual Choral Trail 1 | Derry Choir Festival 2020 | Choral Music | Online Singing | Zoom Choirs,City of Derry International Choir Festival,,561.0,858,virtual choir zoom singing,"title mentions zoom + choir, 561.0s duration"
Iiswj0981G8,https://www.youtube.com/watch?v=Iiswj0981G8,"International Orange Chorale:  ""Zoom"" by Michael T Roberts  (virtual choir performance)",International Orange Chorale of San Francisco (IOCSF),,212.0,4249,virtual choir zoom singing,"title mentions zoom + choir, 212.0s duration"
-psK61cafiE,https://www.youtube.com/watch?v=-psK61cafiE,900-Strong Singapore Virtual Choir sings Home (Dick Lee),Voices of Singapore,,273.0,703546,virtual choir zoom singing,"title mentions zoom + choir, 273.0s duration"
HO26Y-7cfzc,https://www.youtube.com/watch?v=HO26Y-7cfzc,What Does An Online Choir Look Like?,Singing Mamas Org,,216.0,137,online choir zoom call,"title mentions zoom + choir, 216.0s duration"
Gb_dvGOEU4s,https://www.youtube.com/watch?v=Gb_dvGOEU4s,Choral Warmups for Zoom Calls // A Roger Emerson Collaboration,Shedthemusic,,694.0,4213,online choir zoom call,"title mentions zoom + choir, 694.0s duration"
448IWsjw-64,https://www.youtube.com/watch?v=448IWsjw-64,Zoom Audio Tips for Vocal Coaches and Singing Students,Livia Brash,,637.0,906,online choir zoom call,"title mentions zoom + choir, 637.0s duration"
zuZc3kxmHXg,https://www.youtube.com/watch?v=zuZc3kxmHXg,Choir zoom meeting virtual,Blake Hansen,,219.0,11,online choir zoom call,"title mentions zoom + choir, 219.0s duration"
C8IDIEbIsz4,https://www.youtube.com/watch?v=C8IDIEbIsz4,How to Hold an Online Choir Rehearsal with ReHertz,ReHertz,,274.0,341,online choir zoom call,"title mentions zoom + choir, 274.0s duration"
LerRIhH0sNY,https://www.youtube.com/watch?v=LerRIhH0sNY,Why Virtual Choirs Don't Work,Marthame Sanders,,197.0,46091,online choir zoom call,"title mentions zoom + choir, 197.0s duration"
RZ_NaqHTfnE,https://www.youtube.com/watch?v=RZ_NaqHTfnE,Choral Leader Zoom Tutorial,Jordan Travis,,1035.0,5442,online choir zoom call,"title mentions zoom + choir, 1035.0s duration"
fKAR4oDWJR4,https://www.youtube.com/watch?v=fKAR4oDWJR4,Celebrity Elementary Zoom Choir! 😂🔥,Random Structure TV,,205.0,699338,online choir zoom call,"title mentions zoom + choir, 205.0s duration"
ehflTaWJEQM,https://www.youtube.com/watch?v=ehflTaWJEQM,Choral Leaders Zoom Tutorial 2 0,Jordan Travis,,348.0,788,online choir zoom call,"title mentions zoom + choir, 348.0s duration"
